paragrafos,produto,tipo,classe,similaridade
"INSTRUMENTO PARTICULAR DA 1ª (PRIMEIRA) EMISSÃO PARA DISTRIBUIÇÃO PÚBLICA DE LETRAS FINANCEIRAS, NÃO SUJEITA A REGISTRO, DO ",LF,ESCRITURA ,classificacao_de_risco,0.933351224920162
bancoSEGURO s.a.,LF,ESCRITURA ,direito_de_preferencia,0.9649033955964951
como Emitente,LF,ESCRITURA ,direito_de_preferencia,0.964119900511395
e,LF,ESCRITURA ,direito_de_preferencia,0.9649033955964951
OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. ,LF,ESCRITURA ,comunicacoes,0.947341754518429
como Agente de Letras Financeiras,LF,ESCRITURA ,valor_nominal_unitario,0.9357558562944909
[•] de [fevereiro] de 2024,LF,ESCRITURA ,deveres,0.878318848555268
"INSTRUMENTO PARTICULAR DA 1ª (PRIMEIRA) EMISSÃO PARA DISTRIBUIÇÃO PÚBLICA DE LETRAS FINANCEIRAS, NÃO SUJEITA A REGISTRO, DO BANCOSEGURO S.A.",LF,ESCRITURA ,classificacao_de_risco,0.933351224920162
"Pelo presente instrumento e na melhor forma de direito, as partes (individualmente denominadas como “Parte” e em conjunto como “Partes”):",LF,ESCRITURA ,comunicacoes,0.9301804912723337
"bancoSEGURO s.a., instituição financeira, com sede na cidade de São Paulo, estado de São Paulo, na Avenida Brigadeiro Faria Lima, nº 1.384, 4º andar, parte D, Jardim Paulistano, CEP 01451-001, inscrita no Cadastro Nacional de Pessoas Jurídicas do Ministério da Fazenda (“CNPJ/MF”) sob o nº 10.264.663/0001-77, neste ato representada na forma do seu estatuto social (“Emitente”); e ",LF,ESCRITURA ,aquisicao_facultativa,0.9618231239780337
