paragrafos,produto,tipo,classe,similaridade
"CONTRATO DE ALIENAÇÃO FIDUCIÁRIA DE EQUIPAMENTOS, MÁQUINAS E VEÍCULOS EM GARANTIA E OUTRAS AVENÇAS",NC,GARANTIAS,objeto_social,0.9630475569032225
"Pelo presente “Contrato de Alienação Fiduciária de Equipamentos, Máquinas e Veículos em Garantia e Outras Avenças” (“Contrato”), celebrado entre:",NC,GARANTIAS,arquivamento_na_junta_comercial,0.9052753864370061
"SIMAK LOCAÇÃO SERVIÇOS S.A., ",NC,GARANTIAS,direito_de_preferencia,0.9652812415060554
"OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A., sociedade por ações com filial situada na Cidade São Paulo, Estado de São Paulo, na Rua Joaquim Floriano, nº 1052, sala 132, Itaim Bibi, CEP 04.534-004, inscrita no CNPJ sob o nº 36.113.876/0004-34 (“Agente Fiduciário”), na qualidade de representante da comunhão dos debenturistas do “Instrumento Particular de Escritura da 1ª (Primeira) Emissão de Debêntures Simples, Não Conversíveis em Ações, da Espécie com Garantia Real, com Garantia Fidejussória Adicional, em Série Única, para Distribuição Pública, pelo Rito Automático de Distribuição, da Simak Locação Serviços S.A.”, celebrado em [•] de [•] de 2024 entre a Alienante, o Agente Fiduciário, a Manserv Investimentos e Participações S.A. (CNPJ nº  a Manserv Montagem e Manutenção S.A. (CNPJ nº  a Manserv Facilities LTDA (CNPJ nº  a LSI Administração e Serviços S.A. (CNPJ nº  e a LSI Logística S.A. (CNPJ nº  (“Escritura”) ",NC,GARANTIAS,publicidade,0.940967980716648
"(A Alienante e o Agente Fiduciário adiante designados em conjunto como “Partes” e, isoladamente, como “Parte”)",NC,GARANTIAS,direito_de_preferencia,0.9624343608696168
"a Assembleia Geral Extraordinária da  realizada em [•] de [•] de 2024  da  aprovou, dentre outros, (a) os termos e condições da 1ª (primeira) emissão de debêntures simples, não conversíveis em ações, da espécie com garantia real, com garantia fidejussória adicional, em série única, da Emissora (“Emissão” e “Debêntures”, respectivamente), as quais serão objeto de distribuição pública, sob o rito de registro automático, sem análise prévia, destinada exclusivamente a Investidores Profissionais (conforme definido abaixo), nos termos da Lei nº 6.385, de 7 de dezembro de 1976, conforme alterada (“Lei do Mercado de Valores Mobiliários”), da Resolução CVM nº 160, de 13 de julho de 2022, conforme alterada (“Resolução CVM 160”), e das demais disposições legais aplicáveis (“Oferta”); (b) a autorização aos diretores da Emissora para adotarem todas e quaisquer medidas e celebrar todos e quaisquer documentos necessários à Emissão e à Oferta, incluindo, sem limitação, a Escritura, o Contrato de Distribuição (conforme definido abaixo) e os documentos necessário para a constituição desta Alienação Fiduciária e da Cessão Fiduciária; e (c) a autorização para a outorga, pela Emissora, (i) desta Alienação Fiduciária; e (ii) da Cessão Fiduciária (conforme definido abaixo)",NC,GARANTIAS,registro_na_cvm,0.9697333063903648
"nos termos da Cláusula 3.8.1, item “(i)”, da Escritura, em garantia e para assegurar o fiel, integral e pontual pagamento de todos e quaisquer valores, principais ou acessórios, incluindo Encargos Moratórios (conforme definido abaixo), presentes e futuros, no seu vencimento original ou antecipado, devidos pela Alienante nos termos da Escritura e de quaisquer outros documentos vinculados à Emissão, incluindo, sem limitação, principal de dívida, juros, comissões, indenizações, pena convencional e multas, bem como eventuais honorários do Agente Fiduciário, todo e qualquer custo, reembolso, encargo ou despesa comprovadamente incorrido pelo Agente Fiduciário e/ou pelos titulares das Debêntures (“Debenturistas”) em decorrência de processos, procedimentos e/ou outras medidas judiciais ou extrajudiciais necessários à salvaguarda de seus direitos e prerrogativas decorrentes das Debêntures, da Escritura e/ou dos Contratos de Garantia (conforme definido na Escritura), inclusive se por conta da constituição e/ou aperfeiçoamento das Garantias Reais (conforme definido na Escritura) e do exercício de direitos previstos nos Contratos de Garantia e na Escritura (“Obrigações Garantidas”), a Alienante se comprometeu a transferir aos Debenturistas, representados pelo Agente Fiduciário, a propriedade fiduciária dos Bens Alienados (conforme definido abaixo) listados no Anexo I a este Contrato; e",NC,GARANTIAS,tratamento_tributario,0.961292763830787
"Resolvem as Partes celebrar o presente Contrato, que se regerá de acordo com as Cláusulas e condições a seguir dispostas.",NC,GARANTIAS,do_agente_fiduciario,0.9090958679320283
"Exceto se expressamente indicado ou definido de forma diversa neste Contrato, os termos iniciados em letra maiúscula aqui empregados terão os significados a eles atribuídos na Escritura.",NC,GARANTIAS,garantias,0.8817166375853923
CLÁUSULA PRIMEIRA – ALIENAÇÃO FIDUCIÁRIA,NC,GARANTIAS,comunicacoes,0.9120953243507922
"Objeto. Em garantia do pagamento das Obrigações Garantidas, cujos principais termos e condições são incorporados ao presente Contrato, para fins do artigo 1.362 da Lei nº 10.406 de 10 de janeiro de 2002, conforme alterada (“Código Civil”), na forma do Anexo II, a Alienante, neste ato, de forma irrevogável e irretratável, transfere fiduciariamente aos Debenturistas, representados pelo Agente Fiduciário, em conformidade com o disposto no artigo 1.361 e seguintes do Código Civil, no artigo 66-B da Lei 4.728, de 14 de julho de 1965, conforme nova redação dada pelo artigo 55 da Lei nº 10.931, de 2 de agosto de 2004, e posteriores alterações, e no Decreto Lei nº 911, de 1º de outubro de 1969, e posteriores alterações (“Alienação Fiduciária”), a propriedade fiduciária, o domínio resolúvel e a posse indireta de todos os equipamentos, máquinas e veículos listados no Anexo I deste Contrato, bem como quaisquer outros bens que venham a substituí-los ou a serem adquiridos no futuro (“Equipamentos e Máquinas Alienados”, “Veículos Alienados”, respectivamente, e, em conjunto, “Bens Alienados”).",NC,GARANTIAS,aquisicao_facultativa,0.9624143622504421
"A Alienação Fiduciária resulta na transferência, neste ato, em caráter irrevogável e irretratável, aos Debenturistas, representados pelo Agente Fiduciário, da propriedade resolúvel e da posse indireta dos Bens Alienados, até a integral e efetiva liquidação de todas as Obrigações Garantidas.",NC,GARANTIAS,registro_na_cvm,0.935365202320438
"Para fins do disposto no inciso “x” do artigo 11 da Resolução da CVM nº 17, de 09 de fevereiro de 2021, conforme alterada (“Resolução CVM 17”), o valor dos Bens Alienados, nos termos desta Alienação Fiduciária, está descrito na tabela do Anexo I deste Contrato. ",NC,GARANTIAS,nomeacao,0.9700355659789668
A Alienante concorda que a garantia prevista neste Contrato é constituída em adição e não em exclusão ou limitação da Fiança (conforme definida na Escritura da Cessão Fiduciária (conforme definida na Escritura tendo por objeto as Obrigações Garantidas.,NC,GARANTIAS,arquivamento_na_junta_comercial,0.915317530997894
"Enquanto não ocorrer a consolidação da propriedade fiduciária dos Bens Alienados nos termos deste Contrato, e a efetiva entrega de tais Bens Alienados aos Debenturistas, representados pelo Agente Fiduciário, estes não serão, qualquer que seja a hipótese, responsabilizados, direta ou indiretamente, subjetiva ou objetivamente, por ações ou omissões de qualquer natureza que decorram do domínio pleno dos Bens Alienados, uma vez que os Debenturistas, representados pelo Agente Fiduciário, serão os proprietários fiduciários dos Bens Alienados exclusivamente a título de garantia e em caráter resolúvel.",NC,GARANTIAS,deveres,0.9460915433491046
"Bens Não Essenciais. Para todos os fins de direito e diante da alocação de riscos prevista no artigo 421-A, inciso II, do Código Civil, a Alienante declara e reconhece que, inclusive à luz do que prevê a Lei nº 11.101, de 9 de fevereiro de 2005, conforme alterada de tempos em tempos (“Lei 11.101”), de forma irrevogável, irretratável e isenta de qualquer vício de consentimento, renuncia a qualquer prerrogativa, atual ou futura, de pleitear ou de qualquer outro modo discutir, em juízo ou fora dele, o reconhecimento (i) da essencialidade dos Bens Alienados; ou, ainda, (ii) de qualquer outro argumento correlato que venha a impedir/obstar a livre e irrestrita excussão da garantia real, conforme definido neste Contrato.",NC,GARANTIAS,garantias,0.9380878201795998
"A constituição da presente Alienação Fiduciária não opera ou implica a assunção, pelo Agente Fiduciário ou pelos Debenturistas, de qualquer obrigação da Alienante perante quaisquer terceiros.",NC,GARANTIAS,inscricao_desta_escritura_de_emissao_e_seus_eventuais_aditamentos,0.9511550339509884
"CLÁUSULA SEGUNDA – CRITÉRIOS DE ELEGIBILIDADE, VALOR E SUBSTITUIÇÃO DOS BENS ALIENADOS",NC,GARANTIAS,deveres,0.9437860962166474
"Critérios de Elegibilidade. Os Bens Alienados nos termos deste Contrato deverão (i) ser de titularidade plena e exclusiva da Alienante; (ii) possuir, quando da assinatura deste Contrato ou quando da celebração de um Termo de Atualização (conforme definido abaixo), conforme o caso, no máximo, ) meses contados da data de emissão de suas respectivas notas fiscais de aquisição pela Alienante; e (iii) estar livres e desembaraçados de quaisquer ônus, gravames ou restrições de qualquer natureza, inclusive alienação (de qualquer natureza ou grau de prioridade), opção, promessa de compra venda e quaisquer outras restrições à livre disposição dos Bens Alienados (“Critérios de Elegibilidade”). [Nota Cescon Barrieu: Prazo acima em linha com o prazo para constituição desta garantia. Gentileza validar.] ",NC,GARANTIAS,colocacao_e_procedimento_de_distribuicao,0.9518854459606646
"Valor Mínimo da Alienação Fiduciária. Para todos os fins deste Contrato, a Alienante obriga-se a manter alienados, enquanto existirem Obrigações Garantidas, Bens Alienados que, em conjunto, correspondam ao valor de, no mínimo, 100% (cem por cento) do saldo do Valor Nominal Unitário das Debêntures (conforme definido na Escritura), multiplicado pelas Debêntures efetivamente emitidas e integralizadas no âmbito da Emissão, acrescido dos eventuais encargos ordinários e/ou mora, penalidades, despesas, custas, honorários e demais encargos contratuais e legais previstos que sejam efetivamente devidos, considerados, para tanto, os critérios de precificação estabelecidos na Cláusula 2.3 abaixo (“Valor Mínimo da Garantia”). ",NC,GARANTIAS,garantias,0.9508494537532458
"A Alienante declara ainda que, na presente data, o valor dos Bens Alienados, em conjunto, corresponde a R$ [=] ([=] reais), considerados os critérios de precificação estabelecidos na Cláusula 2.3 abaixo. ",NC,GARANTIAS,quorum_de_instalacao,0.8276763997964609
"Valor dos Bens Alienados. Os Bens Alienados têm os respectivos valores indicados no Anexo I deste Contrato, que deverá ser atualizado periodicamente, nos termos da Cláusula 2.8 abaixo, por meio dos Termos de Oneração (conforme definido abaixo).",NC,GARANTIAS,deveres,0.9568694857637975
"A atribuição dos valores dos Equipamentos e Máquinas Alienados indicados no Anexo I-A deste Contrato deverá ser realizada (i) no caso dos Equipamentos e Máquinas Alienados na data de assinatura deste Contrato, conforme preço constante das respectivas notas fiscais de aquisição dos Equipamentos e Máquinas Alienados; e (ii) para os Equipamentos e Máquinas Alienados posteriormente, por meio dos Termos de Atualização (conforme definido abaixo) apresentados, conforme laudo de avaliação (“Laudo de Avaliação”), elaborado por uma das Empresas Avaliadoras (conforme definido abaixo), sendo certo que o valor atribuído aos Equipamentos e Máquinas Alienados deverá ser atualizado, anualmente, mediante emissão de novo Laudo de Avaliação, que deverá ser entregue ao Agente Fiduciário em até [15 (quinze) dias] antes da entrega do Termo de Oneração (conforme definido abaixo) e que deverá ser elaborado por uma das Empresas Avaliadoras. [Nota Cescon Barrieu: Gentileza validar racional de precificação e indicar as empresas avaliadoras aceitas.]",NC,GARANTIAS,quorum_de_deliberacao,0.9451761726771827
"A atribuição dos valores dos Veículos Alienados indicados no Anexo I-B deste Contrato deverá ser realizada conforme o valor do respectivo Veículo Alienado apurado pela Fundação Instituto de Pesquisas Econômicas em seu site (“Tabela FIPE”), divulgada no mês anterior à celebração do presente Contrato ou ao envio do Termo de Atualização (conforme definido abaixo) pela Alienante ao Agente Fiduciário. Caso não haja na Tabela FIPE indicação de valor para algum dos Veículos Alienados, deverão ser considerados os valores a serem apurados mediante Laudo de Avaliação a ser preparado por uma das Empresas Avaliadoras, contratada pela Alienante, em até [15 (quinze) dias] contados da constatação da indisponibilidade do valor do Veículo Alienado na Tabela FIPE, sendo certo que, enquanto o Laudo de Avaliação referido nesta Cláusula não estiver disponível, o Agente Fiduciário deverá considerar como valor do Veículo Alienado o último valor divulgado e disponível na Tabela FIPE para o respectivo veículo",NC,GARANTIAS,assinatura_por_certificado_digital,0.9642916846428408
"Estão autorizadas a elaborar os Laudos de Avaliação referidos neste Contrato as seguintes empresas avaliadoras:  (“Empresas Avaliadoras”), de modo que a contratação de qualquer outro avaliador que não seja uma Empresa Avaliadora dependerá de aprovação prévia dos debenturistas reunidos em Assembleia Geral de Debenturistas (conforme definido na Escritura).",NC,GARANTIAS,despesas,0.9043713194345637
"Fica certo e ajustado entre as Partes que parâmetro que atribuirá o valor dos Bens Alienados será utilizado como referência, para verificação anual de suficiência de garantia, nos termos da Resolução CVM 17, e sob nenhuma hipótese será considerado para quaisquer outros fins, principalmente, mas não se limitando a, excussão da garantia, disputa judicial ou não, os quais deverão obedecer aos termos e condições previstos neste Contrato. ",NC,GARANTIAS,colocacao_e_procedimento_de_distribuicao,0.9483385715681888
"Em atendimento ao Ofício-Circular CVM/SRE nº 01/21, fica acordado entre as Partes que o Agente Fiduciário poderá, às expensas da Alienante, contratar empresa de avaliação para avaliar ou reavaliar os Bens Alienados, conforme Cláusula 2.3.1, a qualquer momento, sem exigência de Assembleia Geral de Debenturistas. Caso nenhuma das Empresas Avaliadoras esteja disponível para prestar o serviço descrito nesta Cláusula 2.6, o Agente Fiduciário deverá convocar Assembleia Geral de Debenturistas para deliberar qual será a nova avaliadora a ser contratada. ",NC,GARANTIAS,quorum_de_instalacao,0.9297411181768037
"Substituição de Bens Alienados. A qualquer momento e observado o procedimento indicado nesta Cláusula 2.7, a Alienante poderá requerer a liberação de Bens Alienados, nos casos em que os Bens Alienados a serem liberados tenham sido substituídos por novos bens, desde que em valor e condições suficientes, considerando o Valor Mínimo da Garantia, cuja alienação fiduciária tenha sido devidamente formalizada, incluindo, mas sem limitação, mediante registro no Sistema Nacional de Gravames (“SNG”), e nos respectivos certificados de registro e licenciamento dos Veículos Alienados (“CRLVs”), conforme aplicável, nos termos da Cláusula 6 abaixo. ",NC,GARANTIAS,deveres,0.9626215547153323
"Para fins de liberação de Bens Alienados, a Alienante deverá enviar ao Agente Fiduciário, a relação dos novos bens que lhe serão alienados fiduciariamente, e que em seguida serão objeto de registro para fins de constituição da Alienação Fiduciária nos termos da Cláusula 5 abaixo, mediante apresentação de termo de atualização, nos moldes do Anexo III ao presente Contrato (“Termo de Atualização”), sempre que, a Alienante, a seu exclusivo critério, pretender incluir, substituir ou liberar algum dos Bens Alienados, observado o previsto no presente Contrato. O Termo de Atualização deverá ser acompanhado de planilha eletrônica em formato Excel contendo todas as informações necessárias ao registro da Alienação Fiduciária, nos termos da Cláusula 5 abaixo e conforme solicitado pelo Agente Fiduciário. ",NC,GARANTIAS,deveres,0.9557539428740354
"Na data de recebimento do Termo de Atualização, a Alienante deverá encaminhar ao Agente Fiduciário declaração atestando que os novos bens alienados da Alienante atendem aos Critérios de Elegibilidade, bem como cópia das notas fiscais dos novos Bens Alienados.",NC,GARANTIAS,deveres,0.9454927961227451
"Formalização da Relação de Bens Alienados. A Alienante e o Agente Fiduciário deverão, anualmente, a partir da data de assinatura do presente Contrato, formalizar a relação consolidada dos Bens Alienados apresentados para a constituição da garantia ou sua substituição, observando sempre os eventuais Termos de Atualização celebrados, bem como os Laudos de Avaliação disponibilizados ao Agente Fiduciário, desde a data de celebração do presente Contrato ou desde a data de recebimento do último Termo de Oneração, conforme o caso, por meio de assinatura de Termo de Oneração devidamente firmado na forma do Anexo IV a este Contrato (“Termo de Oneração”), o qual, independentemente de realização de Assembleia Geral de Debenturistas, fará parte integrante e constituirá aditamento a este Contrato para todos os fins de direito. ",NC,GARANTIAS,vencimento_antecipado,0.9653127141010255
"No âmbito do Termo de Oneração, a Alienante deverá indicar, dentre outras atualizações que sejam aplicáveis, os valores atualizados dos Bens Alienados considerando os critérios de precificação estabelecidos nos termos da Cláusula 2.3 acima, conforme aplicáveis, bem como os valores indicados nos eventuais Termos de Atualização celebrados.",NC,GARANTIAS,quorum_de_deliberacao,0.933797202726525
"Nos termos da Cláusula 5 abaixo, os Termos de Oneração deverão ser averbados à margem do registro deste Contrato nos Cartórios RTD (conforme definido abaixo). ",NC,GARANTIAS,destinacao_dos_recursos,0.9330632018923517
"Documentos Comprobatórios. As notas fiscais originais e/ou outros documentos representativos dos Bens Alienados, incluindo, mas não se limitando ao Laudo de Avaliação, a CRLVs e à Autorização para Transferência de Propriedade do Veículo (ATPV) (“Documentos Comprobatórios”), deverão ser mantidos na sede da Alienante, em sua posse direta, e incorporam-se automaticamente à presente garantia, passando, para todos os fins de direito, a integrar a definição de “Bens Alienados”. ",NC,GARANTIAS,comprovacao_de_titularidade_das_debentures,0.9747596150241356
"Mediante solicitação do Agente Fiduciário, a Alienante deverá apresentar, em até ) Dias Úteis contados da solicitação, os Documentos Comprobatórios dos Bens Alienados.",NC,GARANTIAS,direito_de_preferencia,0.963766647755316
